lsoa21cd,lsoa21nm,HEI_pca,HEI_quintile,HCI,HCI_quintile,Affordability,Aff_quintile,median_house_price,transport_ptai,hospital,avg_epc_rating_num,overcrowding_proxy
E01004028,Southwark 004E,0.6738601368018361,Q5 (worst),0.5131290528856758,Q4,0.0,Q1 (most affordable),236500.0,12.6684,0.9604166666666668,4.6421052631578945,0.0046383035236759
E01004039,Southwark 013B,0.5442755075895976,Q4,0.6116792707651073,Q5 (worst condition),0.09793983148326518,Q2,400000.0,12.7657,1.7282608695652173,4.360062893081761,0.0042466079504879
E01004040,Southwark 013C,0.4575084840992711,Q3,0.5001302323846412,Q3,0.1774288573218744,Q3,,18.2292,1.8522222222222224,4.731629392971246,0.0049157426947447
E01004049,Southwark 027D,0.4912360863454884,Q3,0.4923078520094445,Q3,0.09326400643393523,Q2,395000.0,21.3117,1.346,4.604330708661418,0.0043009331300262
E01004054,Southwark 001D,0.3197678984211344,Q2,0.4524775054773271,Q2,0.18865083744026628,Q3,497000.0,4.73782,2.4296875,4.550471063257066,0.0037349587653837
E01004055,Southwark 001E,0.3058251062044756,Q2,0.3704785921029593,Q1 (best condition),0.3036761336537831,Q4,620000.0,4.43278,1.9963768115942029,4.518304431599229,0.0029094411453626
E01033873,Southwark 009G,0.445359382869322,Q3,0.6041470744935018,Q5 (worst condition),0.05585740603929562,Q1 (most affordable),355000.0,58.5998,1.1376984126984129,4.6909272183449655,0.0057904495830111
E01003913,Southwark 024A,0.4557037117424525,Q3,0.47589772095246996,Q3,0.35511020919641256,Q5 (least affordable),675000.0,25.1306,0.8804761904761905,4.31227651966627,0.0029032764274262
E01003939,Southwark 002E,0.1623395207748648,Q1 (best),0.516763984748407,Q4,0.32705525890043285,Q5 (least affordable),645000.0,89.4512,0.745774647887324,4.662535748331744,0.0047569034643876
E01003966,Southwark 015B,0.5349703979550933,Q4,0.5853835677609366,Q5 (worst condition),0.04650575594063572,Q1 (most affordable),345000.0,19.6325,1.3871794871794871,4.368421052631579,0.0040624548626304
E01003981,Southwark 006F,0.240604447430387,Q1 (best),0.5427330939516032,Q4,0.710472912945489,Q5 (least affordable),1055000.0,84.3865,0.6046153846153846,4.568965517241379,0.0045706276081571
E01003983,Southwark 018A,0.4280735371544079,Q3,0.4607243155553704,Q2,0.1774288573218744,Q3,,13.772,1.724242424242424,4.598518518518518,0.0040113502868228
E01004035,Southwark 011D,0.4229009456145053,Q3,0.4046712464336475,Q1 (best condition),0.1456332469864307,Q2,451000.0,17.2006,1.4706896551724138,4.714470284237726,0.00404225897531
E01004041,Southwark 013D,0.5012730278245806,Q4,0.5138842096737046,Q4,0.1774288573218744,Q3,,14.4436,1.825,4.7082111436950145,0.0049298775091238
E01004046,Southwark 028E,0.4605967730668291,Q3,0.5713785901399865,Q5 (worst condition),0.28029700840713334,Q4,595000.0,16.7826,1.325,4.060344827586207,0.0026158048385717
E01004050,Southwark 024D,0.5265882827011622,Q4,0.5464542106178378,Q4,0.15404973207522465,Q2,460000.0,13.6149,1.1350877192982456,4.171898355754858,0.0028884287172844
E01004058,Southwark 008C,0.37176310926977,Q2,0.3610812911989243,Q1 (best condition),0.12209794918313333,Q2,425833.0,3.33372,1.9730158730158731,4.758940397350993,0.0038690961829117
E01033868,Southwark 002G,0.3063598392316543,Q2,0.550717973658924,Q5 (worst condition),0.21483545771651402,Q4,525000.0,79.5195,0.5814393939393939,4.793427230046948,0.0056060607751498
E01033884,Southwark 035A,0.1113786926812219,Q1 (best),0.36337538396382496,Q1 (best condition),0.8928300898693571,Q5 (least affordable),1250000.0,70.7293,0.8924882629107981,4.720481927710844,0.0037223585682472
E01003921,Southwark 021C,0.6873765694072372,Q5 (worst),0.6171231961369967,Q5 (worst condition),0.1306706068285749,Q2,435000.0,33.812,0.5621527777777778,4.501408450704226,0.0049021115147264
E01003935,Southwark 002D,0.0738779537017852,Q1 (best),0.4038210111886129,Q1 (best condition),0.1774288573218744,Q3,,71.412,0.901418439716312,4.5073649754500815,0.0031414700358228
E01003986,Southwark 011A,0.5835143995782481,Q5 (worst),0.43815373028218896,Q2,0.1774288573218744,Q3,,13.1411,1.0551724137931036,4.712380952380952,0.0043136495410511
E01003987,Southwark 011B,0.5713999646457197,Q4,0.37926948726803167,Q1 (best condition),0.04276509590117178,Q1 (most affordable),341000.0,4.31175,1.148198198198198,4.767241379310345,0.0040572361678645
E01004002,Southwark 029A,0.0059980546149179,Q1 (best),0.39365116537440115,Q1 (best condition),0.47200583542966135,Q5 (least affordable),800000.0,7.92082,3.081578947368421,4.282442748091603,0.0020857512688158
E01004005,Southwark 023D,0.4134332383015474,Q3,0.4492817653889829,Q2,0.036452732084576334,Q1 (most affordable),334250.0,24.5143,1.3727272727272726,4.6234177215189876,0.0040229633865642
E01004006,Southwark 023E,0.5448654995971725,Q4,0.4845384790032533,Q3,0.3943871396107842,Q5 (least affordable),717000.0,16.3159,0.8006172839506173,4.295399515738499,0.0029028152684238
E01004020,Southwark 029D,0.3750384294172778,Q2,0.572599611356759,Q5 (worst condition),0.06988488118728547,Q1 (most affordable),370000.0,4.82233,2.705333333333333,4.451871657754011,0.0043154859337396
E01004029,Southwark 001A,0.4935096755934483,Q3,0.4987206223601136,Q3,0.20080798256852417,Q3,510000.0,17.8708,1.393269230769231,4.52954808806489,0.0040319479496374
E01004038,Southwark 010C,0.5474997019019222,Q4,0.4862408953992664,Q3,0.17509094479720944,Q3,482500.0,11.1853,1.463425925925926,4.640909090909091,0.0044079614412141
E01032583,Southwark 034D,0.0756835233092861,Q1 (best),0.494402803095483,Q3,0.61228058690956,Q5 (least affordable),950000.0,100.926,0.6336363636363637,4.65,0.0045155427292745
E01033869,Southwark 004F,0.6417998658487835,Q5 (worst),0.5243302083214368,Q4,0.025183993715691133,Q1 (most affordable),322200.0,15.2282,1.0738095238095238,4.632432432432433,0.0046903712751258
E01003984,Southwark 023A,0.4070332029926479,Q2,0.48911237843945166,Q3,0.14469808197656475,Q2,450000.0,20.6753,1.4936274509803922,4.429978118161926,0.0035218329092995
E01004053,Southwark 001C,0.3359012444765982,Q2,0.33427233238282206,Q1 (best condition),0.21951128276584397,Q4,530000.0,11.503,1.717013888888889,4.740784780023781,0.0035662366191946
E01004067,Southwark 022E,0.2322536665868851,Q1 (best),0.47805164009153434,Q3,0.07923653128594538,Q2,380000.0,39.3049,1.7394977168949772,4.532571428571429,0.0038718970440425
E01033880,Southwark 015H,0.5973724483229351,Q5 (worst),0.5407151659174839,Q4,0.14469808197656475,Q2,450000.0,12.6048,1.961111111111111,4.20911528150134,0.0030009585390575
E01003919,Southwark 021A,0.4758149683025989,Q3,0.5216838360166385,Q4,0.24055249548782875,Q4,552500.0,20.7302,1.114367816091954,4.2578616352201255,0.0030519193003622
E01003933,Southwark 034C,0.1517877310063616,Q1 (best),0.479743278544392,Q3,0.2131643178438835,Q4,523213.0,63.6931,1.161788617886179,4.449275362318841,0.003526637858321
E01003953,Southwark 028A,0.6137667497529076,Q5 (worst),0.5472489992217828,Q4,0.15404973207522465,Q2,460000.0,17.4577,0.7027777777777777,4.2442442442442445,0.0032072605149528
E01004004,Southwark 023C,0.4565453234326307,Q3,0.4849257376050625,Q3,0.11898104420525002,Q2,422500.0,23.1322,1.18375,4.4535353535353535,0.003588421503366
E01004068,Southwark 026E,0.5445769136011904,Q4,0.4240575539880157,Q1 (best condition),0.17135028475774544,Q3,478500.0,17.4789,0.7158730158730159,4.516587677725118,0.0033507415960379
