lsoa21cd,lsoa21nm,HEI_pca,HCI,Affordability,lisa_I,lisa_q,lisa_p,lisa_label,lisa_label_01
E01004029,Southwark 001A,0.4935096755934483,0.4987206223601136,0.2008079825685241,-0.0041810661539756514,4,0.477,ns,ns
E01004038,Southwark 010C,0.5474997019019222,0.4862408953992664,0.1750909447972094,0.32742268596791707,1,0.066,ns,ns
E01032583,Southwark 034D,0.0756835233092861,0.494402803095483,0.61228058690956,3.5039227151178562,3,0.001,LL,LL
E01033869,Southwark 004F,0.6417998658487835,0.5243302083214368,0.0251839937156911,1.0581312949739332,1,0.012,HH,ns
E01003984,Southwark 023A,0.4070332029926479,0.4891123784394516,0.1446980819765647,-0.058499209297689654,2,0.159,ns,ns
E01004053,Southwark 001C,0.3359012444765982,0.334272332382822,0.2195112827658439,0.23718046294002745,3,0.176,ns,ns
E01004067,Southwark 022E,0.2322536665868851,0.4780516400915343,0.0792365312859453,-0.08967045934008085,2,0.404,ns,ns
E01033880,Southwark 015H,0.5973724483229351,0.5407151659174839,0.1446980819765647,0.1717877914156876,1,0.247,ns,ns
E01003919,Southwark 021A,0.4758149683025989,0.5216838360166385,0.2405524954878287,0.31722446879388705,1,0.004,HH,HH
E01003933,Southwark 034C,0.1517877310063616,0.479743278544392,0.2131643178438835,1.2288990187811508,3,0.019,LL,ns
E01003953,Southwark 028A,0.6137667497529076,0.5472489992217828,0.1540497320752246,0.29113976550393494,1,0.199,ns,ns
E01004004,Southwark 023C,0.4565453234326307,0.4849257376050625,0.11898104420525,0.03509541164104734,1,0.302,ns,ns
E01004068,Southwark 026E,0.5445769136011904,0.4240575539880157,0.1713502847577454,0.014293101163233374,1,0.472,ns,ns
E01004059,Southwark 008D,0.2607873041090864,0.4293392492595205,0.4649920978556664,0.1270343368814098,3,0.394,ns,ns
E01004056,Southwark 008A,0.5223847792375681,0.3931411099831153,0.1973011137815267,-0.15919217951878875,4,0.281,ns,ns
E01033867,Southwark 002F,0.3063598392316543,0.6180089922030202,0.214835457716514,1.0302135323820516,3,0.001,LL,LL
E01004033,Southwark 007C,0.5784173739886375,0.5148588147500834,0.1727530322725444,0.385251927885165,1,0.159,ns,ns
E01003934,Southwark 002C,0.0275277298363782,0.2861203450354449,0.9162092151160068,3.0383354748084628,3,0.009,LL,LL
